Year ending December,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",Rate,LGA_Code
2012,1 NORTH WEST METRO,MARIBYRNONG,7478,9676.375823294213,9.676375823294213,24330
2012,1 NORTH WEST METRO,HUME,12009,6693.942620163767,6.693942620163767,23270
2012,1 NORTH WEST METRO,HOBSONS BAY,5850,6621.392190152802,6.621392190152802,23110
2012,1 NORTH WEST METRO,DAREBIN,9671,6669.6551724137935,6.669655172413793,21890
2012,1 NORTH WEST METRO,BRIMBANK,15487,7981.261788684924,7.9812617886849235,21180
2012,1 NORTH WEST METRO,BANYULE,5815,4702.371806794382,4.702371806794382,20660
2011,1 NORTH WEST METRO,YARRA,8718,11049.00954336337,11.04900954336337,27350
2011,1 NORTH WEST METRO,WYNDHAM,9640,5782.878121644401,5.782878121644401,27260
2011,1 NORTH WEST METRO,WHITTLESEA,8758,5446.517412935323,5.446517412935322,27070
2011,1 NORTH WEST METRO,NILLUMBIK,1459,2326.360099496141,2.3263600994961413,25710
2011,1 NORTH WEST METRO,MORELAND,8875,5753.758582014561,5.753758582014561,25250
2011,1 NORTH WEST METRO,MOONEE VALLEY,6027,5372.615439472277,5.372615439472277,25060
2011,1 NORTH WEST METRO,MELTON,6065,5384.267109363209,5.384267109363209,24650
2011,1 NORTH WEST METRO,MELBOURNE,23653,23596.3687150838,23.596368715083802,24600
2011,1 NORTH WEST METRO,MARIBYRNONG,6981,9288.926737099822,9.288926737099823,24330
2011,1 NORTH WEST METRO,HUME,11031,6329.106661311607,6.329106661311608,23270
2011,1 NORTH WEST METRO,HOBSONS BAY,4743,5427.083929286572,5.427083929286572,23110
2011,1 NORTH WEST METRO,DAREBIN,9587,6706.916091841446,6.706916091841446,21890
2011,1 NORTH WEST METRO,BRIMBANK,14297,7465.952291431675,7.465952291431675,21180
2011,1 NORTH WEST METRO,BANYULE,5605,4557.5404730735145,4.557540473073514,20660
2010,1 NORTH WEST METRO,YARRA,9199,11728.930256279486,11.728930256279485,27350
2010,1 NORTH WEST METRO,WYNDHAM,8492,5469.852046041571,5.469852046041571,27260
2010,1 NORTH WEST METRO,WHITTLESEA,7822,5122.160448958476,5.122160448958476,27070
2010,1 NORTH WEST METRO,NILLUMBIK,1419,2258.187720805882,2.2581877208058816,25710
2010,1 NORTH WEST METRO,MORELAND,8320,5464.301429781756,5.464301429781757,25250
2010,1 NORTH WEST METRO,MOONEE VALLEY,5900,5297.989457898943,5.297989457898943,25060
2010,1 NORTH WEST METRO,MELTON,5189,4856.431566337226,4.856431566337227,24650
2010,1 NORTH WEST METRO,MELBOURNE,26258,26897.35000973131,26.897350009731312,24600
2010,1 NORTH WEST METRO,MARIBYRNONG,6575,8931.846277152134,8.931846277152134,24330
2010,1 NORTH WEST METRO,HUME,10525,6156.698956432215,6.156698956432215,23270
2010,1 NORTH WEST METRO,HOBSONS BAY,4768,5468.391595559226,5.4683915955592255,23110
2010,1 NORTH WEST METRO,DAREBIN,8909,6283.67893920158,6.28367893920158,21890
2010,1 NORTH WEST METRO,BRIMBANK,12514,6624.844490325313,6.624844490325313,21180
2010,1 NORTH WEST METRO,BANYULE,5846,4761.361785307054,4.761361785307054,20660
2009,1 NORTH WEST METRO,YARRA,9370,12119.879447944018,12.119879447944019,27350
2009,1 NORTH WEST METRO,WYNDHAM,7284,5079.320804713922,5.079320804713922,27260
2009,1 NORTH WEST METRO,WHITTLESEA,7813,5371.790023720307,5.3717900237203065,27070
2009,1 NORTH WEST METRO,NILLUMBIK,1495,2381.1419925141354,2.3811419925141353,25710
2009,1 NORTH WEST METRO,MORELAND,8019,5341.940125504617,5.341940125504617,25250
2009,1 NORTH WEST METRO,MOONEE VALLEY,5967,5406.507379923347,5.4065073799233465,25060
2009,1 NORTH WEST METRO,MELTON,4844,4847.150647921149,4.84715064792115,24650
2009,1 NORTH WEST METRO,MELBOURNE,24986,26511.188685050984,26.511188685050982,24600
2009,1 NORTH WEST METRO,MARIBYRNONG,6748,9388.913624220837,9.388913624220837,24330
2009,1 NORTH WEST METRO,HUME,9746,5845.448874814068,5.8454488748140685,23270
2009,1 NORTH WEST METRO,HOBSONS BAY,4793,5523.98953519195,5.523989535191951,23110
2009,1 NORTH WEST METRO,DAREBIN,9645,6875.093556871886,6.875093556871886,21890
2009,1 NORTH WEST METRO,BRIMBANK,12229,6596.115363247518,6.596115363247518,21180
2009,1 NORTH WEST METRO,BANYULE,5937,4856.521170080492,4.856521170080492,20660
2018,2 EASTERN,YARRA RANGES,5561,3511.8423462594624,3.5118423462594626,27450
2018,2 EASTERN,WODONGA,2394,5770.951182868612,5.770951182868612,27170
2018,2 EASTERN,WHITEHORSE,6269,3551.8298177786032,3.551829817778603,26980
2018,2 EASTERN,WELLINGTON,2828,6416.7994948711475,6.416799494871148,26810
2018,2 EASTERN,WANGARATTA,1750,6025.98753197111,6.02598753197111,26700
2018,2 EASTERN,TOWONG,181,3025.759682567315,3.025759682567315,26670
2018,2 EASTERN,STRATHBOGIE,440,4164.876442966277,4.164876442966277,26430
2018,2 EASTERN,SOUTH GIPPSLAND,1023,3479.1620081485935,3.4791620081485934,26170
2018,2 EASTERN,MURRINDINDI,574,4010.0798044034937,4.010079804403493,25620
2018,2 EASTERN,MONASH,8245,4116.401738854397,4.116401738854397,24970
2018,2 EASTERN,MOIRA,1568,5295.736084013418,5.295736084013418,24900
2018,2 EASTERN,MITCHELL,3014,6826.630737382266,6.826630737382265,24850
2018,2 EASTERN,MAROONDAH,5919,5013.972918121023,5.0139729181210235,24410
2018,2 EASTERN,MANSFIELD,333,3749.647152972611,3.749647152972611,24250
2018,2 EASTERN,MANNINGHAM,3352,2642.593602521776,2.642593602521776,24210
2018,2 EASTERN,LATROBE,9927,13240.239072104381,13.240239072104382,23810
2018,2 EASTERN,KNOX,8090,4939.059235342237,4.939059235342237,23670
2018,2 EASTERN,INDIGO,342,2091.024687643838,2.0910246876438383,23350
2018,2 EASTERN,GREATER SHEPPARTON,6205,9360.725853031412,9.360725853031411,22830
2018,2 EASTERN,EAST GIPPSLAND,3195,6859.477670917025,6.859477670917024,22110
